           flux         loglam           ivar
              E              E              E
                                             
   1.436036E+01   3.630000E+00   2.895922E-01
   1.714583E+01   3.630100E+00   2.937037E-01
   1.597121E+01   3.630200E+00   3.163748E-01
   1.385087E+01   3.630300E+00   3.297333E-01
   1.371772E+01   3.630400E+00   3.280283E-01
   1.364800E+01   3.630500E+00   3.241162E-01
   1.237753E+01   3.630600E+00   3.270589E-01
   1.220934E+01   3.630700E+00   3.360596E-01
   1.528880E+01   3.630800E+00   3.152267E-01
   1.379677E+01   3.630900E+00   3.173527E-01
   1.329093E+01   3.631000E+00   3.065913E-01
   1.291389E+01   3.631100E+00   2.934532E-01
   1.464983E+01   3.631200E+00   1.749794E-01
   1.704299E+01   3.631300E+00   1.777269E-01
   1.265283E+01   3.631400E+00   2.148325E-01
   1.106610E+01   3.631500E+00   3.495228E-01
   1.370453E+01   3.631600E+00   3.335055E-01
   1.413604E+01   3.631700E+00   3.152673E-01
   1.292324E+01   3.631800E+00   3.110828E-01
   1.207555E+01   3.631900E+00   2.979223E-01
   1.105586E+01   3.632000E+00   3.065535E-01
   1.363281E+01   3.632100E+00   2.910390E-01
   1.296968E+01   3.632200E+00   3.151706E-01
   1.398864E+01   3.632300E+00   3.186681E-01
   8.640091E+00   3.632400E+00   3.529882E-01
   1.270404E+01   3.632500E+00   3.362016E-01
   1.270529E+01   3.632600E+00   3.421319E-01
   1.181612E+01   3.632700E+00   3.507414E-01
   1.317507E+01   3.632800E+00   3.443638E-01
   1.415213E+01   3.632900E+00   3.458612E-01
   1.402556E+01   3.633000E+00   3.417113E-01
   1.354501E+01   3.633100E+00   3.365923E-01
   1.180208E+01   3.633200E+00   3.409494E-01
   7.932768E+00   3.633300E+00   3.705314E-01
   9.322859E+00   3.633400E+00   3.756341E-01
   7.579458E+00   3.633500E+00   3.991671E-01
   1.382463E+01   3.633600E+00   3.519492E-01
   1.426230E+01   3.633700E+00   2.253525E-01
   6.038224E+00   3.633800E+00   2.463714E-01
   6.894963E+00   3.633900E+00   2.335470E-01
   1.043413E+01   3.634000E+00   3.164615E-01
   1.034415E+01   3.634100E+00   3.223682E-01
   1.143619E+01   3.634200E+00   3.278256E-01
   1.352360E+01   3.634300E+00   3.265596E-01
   1.312890E+01   3.634400E+00   3.414297E-01
   1.253157E+01   3.634500E+00   3.499525E-01
   1.091968E+01   3.634600E+00   3.574380E-01
   1.228357E+01   3.634700E+00   3.528673E-01
   1.223611E+01   3.634800E+00   3.590213E-01
   1.010022E+01   3.634900E+00   3.652821E-01
